Age,Male,Female,Total
less 1,"370,899","348,866","719,765"
1,"400,850","377,071","777,921"
2,"424,558","401,588","826,146"
3,"427,119","401,897","829,016"
4,"457,129","432,627","889,756"
5,"495,171","468,129","963,300"
6,"504,986","477,553","982,539"
7,"500,107","475,093","975,200"
8,"486,528","460,124","946,652"
9,"489,301","464,684","953,985"
10,"497,051","472,545","969,596"
11,"495,483","469,181","964,664"
12,"488,623","465,235","953,858"
13,"469,072","445,617","914,689"
14,"459,879","437,407","897,286"
15,"457,396","438,423","895,819"
16,"474,274","454,740","929,014"
17,"495,393","475,661","971,054"
18,"498,058","480,377","978,435"
19,"511,247","495,355","1,006,602"
20,"529,538","515,031","1,044,569"
21,"524,522","516,527","1,041,049"
22,"542,709","528,671","1,071,380"
23,"544,482","533,734","1,078,216"
24,"527,232","519,801","1,047,033"
25,"555,713","549,415","1,105,128"
26,"554,339","547,266","1,101,605"
27,"541,553","539,553","1,081,106"
28,"552,278","552,863","1,105,141"
29,"541,668","545,338","1,087,006"
30,"560,534","567,900","1,128,434"
31,"567,068","580,684","1,147,752"
32,"556,589","567,811","1,124,400"
33,"546,689","563,750","1,110,439"
34,"566,702","586,242","1,152,944"
35,"542,301","560,270","1,102,571"
36,"530,216","553,843","1,084,059"
37,"536,905","559,638","1,096,543"
38,"536,321","564,149","1,100,470"
39,"505,257","524,462","1,029,719"
40,"496,685","515,060","1,011,745"
41,"473,692","492,538","966,230"
42,"473,814","497,554","971,368"
43,"456,432","477,569","934,001"
44,"416,872","439,749","856,621"
45,"408,773","433,886","842,659"
46,"410,706","437,382","848,088"
47,"391,774","423,024","814,798"
48,"345,265","370,068","715,333"
49,"341,542","367,795","709,337"
50,"326,404","351,420","677,824"
51,"302,668","327,618","630,286"
52,"301,340","324,472","625,812"
53,"278,111","302,844","580,955"
54,"253,330","270,847","524,177"
55,"237,887","258,228","496,115"
56,"217,697","236,493","454,190"
57,"193,347","212,296","405,643"
58,"204,883","218,860","423,743"
59,"174,834","193,603","368,437"
60,"197,371","216,320","413,691"
61,"175,815","195,256","371,071"
62,"169,835","191,290","361,125"
63,"173,964","192,349","366,313"
64,"168,010","192,238","360,248"
65,"154,127","177,120","331,247"
66,"151,053","180,116","331,169"
67,"135,853","159,447","295,300"
68,"135,253","158,469","293,722"
69,"122,284","149,876","272,160"
70,"122,069","145,269","267,338"
71,"98,667","127,449","226,116"
72,"99,130","121,181","220,311"
73,"85,608","107,096","192,704"
74,"87,878","111,791","199,669"
75,"67,068","88,269","155,337"
76,"67,503","89,603","157,106"
77,"54,000","72,572","126,572"
78,"46,419","63,427","109,846"
79,"46,315","62,569","108,884"
80,"36,866","51,491","88,357"
81,"35,347","50,651","85,998"
82,"30,209","43,672","73,881"
83,"19,905","30,196","50,101"
84,"22,565","33,734","56,299"
85,"18,406","28,258","46,664"
86,"18,626","29,447","48,073"
87,"11,628","18,850","30,478"
88,"11,962","18,813","30,775"
89,"8,900","14,685","23,585"
90,"7,282","11,712","18,994"
91,"7,387","12,139","19,526"
92,"5,177","8,318","13,495"
93,"4,753","7,742","12,495"
94,"4,072","6,413","10,485"
95,"3,066","4,928","7,994"
96,"3,592","5,743","9,335"
97,"2,227","3,329","5,556"
98,"2,686","3,745","6,431"
99,"1,854","2,669","4,523"
100,"1,865","2,650","4,515"
over 100,"15,990","22,210","38,200"
